Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
USD Fiyat Listesi;Ubuntu Pro + Infra Support (weekday) - Virtual;per VM;64.88
USD Fiyat Listesi;Ubuntu Pro + Support (24/7) - Virtual;per VM;249.19
USD Fiyat Listesi;Ubuntu Pro + Support (weekday) - Virtual;per VM;124.7
USD Fiyat Listesi;Bulutistan Destek Hizmeti 7x24;per VM;13.77
USD Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 200 Mbps (HA);Adet;1537.91
USD Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 1 Gbps (HA);Adet;2479.79
USD Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 5 Gbps (HA);Adet;4511.11
USD Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – Yönetim Hizmeti;Adet;595.24
USD Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 50 Mbps (HA) + Yönetim Hizmeti;Adet;810.69
USD Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 100 Mbps (HA) + Yönetim Hizmeti;Adet;817.81
USD Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 200 Mbps (HA) + Yönetim Hizmeti;Adet;832.04
USD Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 50 Mbps (HA) + Yönetim Hizmeti;Adet;989.26
USD Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 100 Mbps (HA) + Yönetim Hizmeti;Adet;996.38
USD Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 200 Mbps (HA) + Yönetim Hizmeti;Adet;1010.61
USD Fiyat Listesi;Cloud DNS Hizmeti;per Domain;0.66
USD Fiyat Listesi;cPanel Admin Lisansı (Up to 5 Accounts);Adet;41.39
USD Fiyat Listesi;cPanel Premier Lisansı (Up to 100 Accounts);Adet;80.49
USD Fiyat Listesi;cPanel Pro Lisansı (Up to 30 Accounts);Adet;62.09
USD Fiyat Listesi;cPanel Solo Lisansı (1 Account);Adet;34.49
USD Fiyat Listesi;FortiGate Fiziksel Dedike Firewall Yönetim Hizmeti;Adet;208.23
USD Fiyat Listesi;FortiGate FG-VM01V UTP 12 Ay;Adet;399.92
USD Fiyat Listesi;FortiGate FG-VM02V UTP 12 Ay;Adet;408.14
USD Fiyat Listesi;FortiGate FG-VM04V UTP 12 Ay;Adet;763.4
USD Fiyat Listesi;FortiGate FG-VM08V UTP 12 Ay;Adet;1995.37
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - FortiCare Lisans - Yönetim Dahil;Adet;186.75
USD Fiyat Listesi;Hyperconverged İmaj Yedekleme Hizmeti;GB;0.04
USD Fiyat Listesi;Hyperconverged Mimari Intel CPU;vCPU;4.93
USD Fiyat Listesi;Hyperconverged Mimari Intel CPU - DR;vCPU;1.64
USD Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD;GB;0.04
USD Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD - DR;GB;0.04
USD Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD Hybrid;GB;0.04
USD Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD Hybrid - DR;GB;0.04
