Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
Euro Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 100 Mbps (HA) + Yönetim Hizmeti;Adet;845.57
Euro Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 200 Mbps (HA) + Yönetim Hizmeti;Adet;857.64
Euro Fiyat Listesi;Cloud DNS Hizmeti;per Domain;0.56
Euro Fiyat Listesi;cPanel Admin Lisansı (Up to 5 Accounts);Adet;35.13
Euro Fiyat Listesi;cPanel Premier Lisansı (Up to 100 Accounts);Adet;68.31
Euro Fiyat Listesi;cPanel Pro Lisansı (Up to 30 Accounts);Adet;52.69
Euro Fiyat Listesi;cPanel Solo Lisansı (1 Account);Adet;29.27
Euro Fiyat Listesi;FortiGate Fiziksel Dedike Firewall Yönetim Hizmeti;Adet;176.71
Euro Fiyat Listesi;FortiGate FG-VM01V UTP 12 Ay;Adet;339.39
Euro Fiyat Listesi;FortiGate FG-VM02V UTP 12 Ay;Adet;346.36
Euro Fiyat Listesi;FortiGate FG-VM04V UTP 12 Ay;Adet;647.85
Euro Fiyat Listesi;FortiGate FG-VM08V UTP 12 Ay;Adet;1693.35
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - FortiCare Lisans - Yönetim Dahil;Adet;158.48
Euro Fiyat Listesi;Hyperconverged İmaj Yedekleme Hizmeti;GB;0.03
Euro Fiyat Listesi;Hyperconverged Mimari Intel CPU;vCPU;4.18
Euro Fiyat Listesi;Hyperconverged Mimari Intel CPU - DR;vCPU;1.39
Euro Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD;GB;0.03
Euro Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD - DR;GB;0.03
Euro Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD Hybrid;GB;0.03
Euro Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD Hybrid - DR;GB;0.03
Euro Fiyat Listesi;Hyperconverged Mimari Intel RAM;GB;2.92
Euro Fiyat Listesi;Hyperconverged Mimari Intel RAM - DR;GB;0.98
Euro Fiyat Listesi;IBM ICOS S3 Ankara;TB;13.9
Euro Fiyat Listesi;IBM ICOS S3 İstanbul;TB;13.9
Euro Fiyat Listesi;Klasik Mimari Intel CPU;vCPU;5.49
Euro Fiyat Listesi;Klasik Mimari Intel CPU - DR;vCPU;1.68
Euro Fiyat Listesi;Klasik Mimari Intel Disk - NVMe;GB;0.14
Euro Fiyat Listesi;Klasik Mimari Intel Disk - NVMe - DR;GB;0.14
Euro Fiyat Listesi;Klasik Mimari Intel RAM;GB;1.6
Euro Fiyat Listesi;Klasik Mimari Intel RAM - DR;GB;0.49
Euro Fiyat Listesi;Data Switch Port ve SFP Hizmeti;Adet;72.41
Euro Fiyat Listesi;Management Switch Port Hizmeti;Adet;14.36
Euro Fiyat Listesi;Plesk Web Admin Edition VPS (10 Domains);Adet;16.58
Euro Fiyat Listesi;Plesk Web Host Edition VPS (Unlimited Domains);Adet;61.48
Euro Fiyat Listesi;Plesk Web Pro Edition VPS (30 Domains);Adet;29.27
Euro Fiyat Listesi;Premium Monitoring Hizmeti;per VM;17.34
Euro Fiyat Listesi;Public IPv4 Blok /24 - 256 Adet IP;Adet;1033.78
Euro Fiyat Listesi;Public IPv4 Blok /25 - 128 Adet IP;Adet;516.89
Euro Fiyat Listesi;Public IPv4 Blok /26 - 64 Adet IP;Adet;258.44
Euro Fiyat Listesi;Public IPv4 Blok /27 - 32 Adet IP;Adet;129.22
Euro Fiyat Listesi;Public IPv4 Blok /28 - 16 Adet IP;Adet;64.62
Euro Fiyat Listesi;Public IPv4 Blok /29 - 8 Adet IP;Adet;32.31
Euro Fiyat Listesi;Public IPv4 Blok /30 - 4 Adet IP;Adet;16.15
Euro Fiyat Listesi;Public IPv4 Blok /31 - 2 Adet IP;Adet;8.08
Euro Fiyat Listesi;Public IPv4 Blok /32 - 1 Adet IP;Adet;4.04
Euro Fiyat Listesi;Public IPv6 Blok  /48;Adet;16.15
Euro Fiyat Listesi;Public IPv6 Blok /56;Adet;8.08
Euro Fiyat Listesi;Public IPv6 Blok /64;Adet;4.04
Euro Fiyat Listesi;Public IPv6 Blok /120;Adet;2.02
Euro Fiyat Listesi;Public IPv6 Yönlendirme Hizmeti (Only /48 Blok);Adet;37.88
Euro Fiyat Listesi;SAP Intel HANA CPU;vCPU;5.49
Euro Fiyat Listesi;SAP Intel HANA RAM;GB;1.6
Euro Fiyat Listesi;SAP Intel HANA Storage - Nvme;GB;0.16
Euro Fiyat Listesi;SAP Intel HANA Storage - SSD;GB;0.08
Euro Fiyat Listesi;SAP Intel HANA Storage - SSD Hybrid;GB;0.08
Euro Fiyat Listesi;SAP Power HANA CPU;Core;122.21
Euro Fiyat Listesi;SAP Power HANA RAM;GB;3.06
Euro Fiyat Listesi;SAP Power HANA Storage - NVMe;GB;0.04
Euro Fiyat Listesi;SAP Power HANA Storage - SSD;GB;0.08
Euro Fiyat Listesi;SAP Power HANA Storage - SSD Hybrid;GB;0.08
Euro Fiyat Listesi;Sophos Load Balancer - HTTP/S;Adet;8.21
Euro Fiyat Listesi;Sophos Load Balancer;Adet;7.32
Euro Fiyat Listesi;Sophos SSL VPN;per User;0.03
Euro Fiyat Listesi;Sophos UTM Firewall ve Yönetim Hizmeti;Adet;9.95
Euro Fiyat Listesi;Sophos UTM Sanal Dedike Firewall ve Yönetim Hizmeti;Adet;9.95
Euro Fiyat Listesi;Sophos UTM Sanal Dedike Firewall ve Yönetim Hizmeti - Per VM;Adet;9.95
Euro Fiyat Listesi;Sophos WAF;Adet;4.48
Euro Fiyat Listesi;Standart DDoS Hizmeti (L3);Mbit;2.14
Euro Fiyat Listesi;Standart Intel Linux İşletim Sistemi Yönetim Hizmeti;per VM;20.45
Euro Fiyat Listesi;Standart Monitoring Hizmeti;per VM;9.88
Euro Fiyat Listesi;Standart Windows İşletim Sistemi Yönetim Hizmeti;per VM;20.45
Euro Fiyat Listesi;SUSE for SAP HANA on Intel Yönetim Hizmeti;per VM;46.74
Euro Fiyat Listesi;SUSE for SAP HANA on Power Yönetim Hizmeti;per VM;46.74
Euro Fiyat Listesi;Uygulama Yedekleme Hizmeti (Veritas NetBackup);GB;0.03
Euro Fiyat Listesi;Veeam Cloud Connect Backup Lisansı (Customer Does Not Have Veeam);per VM;7.73
Euro Fiyat Listesi;Veeam Cloud Connect Backup Lisansı (Customer Has Veeam);per VM;4.29
Euro Fiyat Listesi;Klasik Mimari Veeam Replication Disk - NVMe;GB;0.14
Euro Fiyat Listesi;Veeam Cloud Connect Replication Lisansı (Customer does not have Veeam);per VM;16.33
Euro Fiyat Listesi;Veeam Cloud Connect Replication Lisansı (Customer Has Veeam);per VM;8.6
Euro Fiyat Listesi;Klasik Mimari Veeam Replication RAM;GB;0.49
Euro Fiyat Listesi;Klasik Mimari Veeam Replication vCpu;vCPU;1.68
Euro Fiyat Listesi;Veeam Replikasyon Yönetim Hizmeti;Adet;17.53
Euro Fiyat Listesi;Veri Merkezi Erişim Hizmeti;Mbit;4.29
Euro Fiyat Listesi;Hyperconverged Mimari Veeam Replication Disk - SSD;GB;0.03
Euro Fiyat Listesi;Hyperconverged Mimari Veeam Replication Disk - SSD Hybrid;GB;0.03
Euro Fiyat Listesi;Hyperconverged Mimari Veeam Replication RAM;GB;0.98
Euro Fiyat Listesi;Hyperconverged Mimari Veeam Replication vCpu;vCPU;1.39
Euro Fiyat Listesi;Zerto Replikasyon Yönetim Hizmeti;Adet;17.53
TL Fiyat Listesi;SUSE Lisans Bedeli;Adet;10292.16
USD Fiyat Listesi;SUSE Lisans Bedeli;Adet;230.0
Euro Fiyat Listesi;SUSE Lisans Bedeli;Adet;195.19
TL Fiyat Listesi;FortiGate FG-VM02V UTP 12 Ay;Adet;18263.65
TL Fiyat Listesi;Veeam Backup & Replication Standard Lisansı;per VM;221.51
TL Fiyat Listesi;CPU-DR;vCPU;47.88
USD Fiyat Listesi;CPU-DR;vCPU;1.07
Euro Fiyat Listesi;CPU-DR;vCPU;0.91
TL Fiyat Listesi;RAM-DR;GB;27.3
USD Fiyat Listesi;RAM-DR;GB;0.61
Euro Fiyat Listesi;RAM-DR;GB;0.52
TL Fiyat Listesi;Disk - DR;GB;1.34
USD Fiyat Listesi;Disk - DR;GB;0.03
Euro Fiyat Listesi;Disk - DR;GB;0.03
TL Fiyat Listesi;CSP - Exchange Online (Plan 1);per User;203.61
TL Fiyat Listesi;CSP - Exchange Online (Plan 2);per User;407.21
TL Fiyat Listesi;CSP - Exchange Online Kiosk;per User;102.03
TL Fiyat Listesi;SPLA - MS Project Professional Lisans(Project Professional ALng LSA SAL w/1 Project Server SAL);Adet;1725.5
TL Fiyat Listesi;SPLA - Microsoft Project Standard Lisans (Project Standard ALng LSA SAL);Adet;1026.98
TL Fiyat Listesi;SPLA - MS SQL Server Enterprise Edition 2 Core Lisans (SQL Server Enterprise Core ALng LSA 2L);Adet;31256.83
TL Fiyat Listesi;SPLA - MS SQL Server Standart Edition 2 Core Lisans (SQL Server Standard Core ALng LSA 2L);Adet;8301.74
TL Fiyat Listesi;SPLA - MS SQL Server Web Edition 2 Core Lisans (SQL Server Web ALng LSA 2L Core);Adet;519.08
TL Fiyat Listesi;SPLA - MS Windows Server Datacenter Editon 2 Core Lisans (Win Server DC Core ALng LSA 2L);Adet;1940.74
TL Fiyat Listesi;SPLA - MS Windows Server Standard Editon 2 Core Lisans (Win Server Standard Core ALng LSA 2L);Adet;279.23
TL Fiyat Listesi;SPLA - RDP Kullanıcı Lisans - RDS User CAL (Win Remote Desktop Services SAL ALng LSA SAL);Adet;366.94
TL Fiyat Listesi;SPLA -Exchange Enterprise SAL (Exchange Enterprise SAL ALng LSA SAL);Adet;194.66
TL Fiyat Listesi;SPLA -Exchange Standard SAL (Exchange Standard SAL ALng LSA SAL);Adet;120.37
TL Fiyat Listesi;CSP - Microsoft 365 Apps for Business;per User;422.43
TL Fiyat Listesi;CSP - Microsoft 365 Apps for Enterprise;per User;610.82
TL Fiyat Listesi;CSP - Microsoft 365 Business Basic;per User;305.18
TL Fiyat Listesi;CSP-Microsoft 365 Business Premium;per User;1119.16
TL Fiyat Listesi;CSP - Microsoft 365 Business Standard;per User;635.88
TL Fiyat Listesi;CSP - Microsoft 365 E3;per User;1396.6
TL Fiyat Listesi;CSP - Microsoft 365 E5;per User;2465.64
TL Fiyat Listesi;CSP - Microsoft 365 F3;per User;407.21
TL Fiyat Listesi;CSP - Microsoft Defender for Office 365 (Plan 1);per User;102.03
TL Fiyat Listesi;CSP - Microsoft Teams Essentials;per User;203.61
TL Fiyat Listesi;CSP - Microsoft Visio Plan 1;per User;254.17
TL Fiyat Listesi;CSP - Microsoft Visio Plan 2;per User;762.96
TL Fiyat Listesi;CSP - Office 365 E1;per User;345.91
TL Fiyat Listesi;CSP - Office 365 E3;per User;735.22
TL Fiyat Listesi;Klasik Mimari Veeam Replication Disk - SSD;GB;3.58
TL Fiyat Listesi;CPU;vCPU;143.64
USD Fiyat Listesi;CPU;vCPU;3.21
Euro Fiyat Listesi;CPU;vCPU;2.72
TL Fiyat Listesi;RAM;GB;81.89
USD Fiyat Listesi;RAM;GB;1.83
Euro Fiyat Listesi;RAM;GB;1.55
TL Fiyat Listesi;Disk;GB;1.79
USD Fiyat Listesi;Disk;GB;0.04
Euro Fiyat Listesi;Disk;GB;0.03
TL Fiyat Listesi;OS Yönetim Hizmeti;per VM;670.78
USD Fiyat Listesi;OS Yönetim Hizmeti;per VM;14.99
Euro Fiyat Listesi;OS Yönetim Hizmeti;per VM;12.72
TL Fiyat Listesi;AlwaysOn Kurumsal Destek Hizmeti;per VM;33436.97
Euro Fiyat Listesi;AlwaysOn Kurumsal Destek Hizmeti;per VM;634.12
USD Fiyat Listesi;AlwaysOn Kurumsal Destek Hizmeti;per VM;747.22
TL Fiyat Listesi;FortiGate 600F Fiziksel Dedike Firewall;Adet;34456.35
USD Fiyat Listesi;FortiGate 600F Fiziksel Dedike Firewall;Adet;770.0
Euro Fiyat Listesi;FortiGate 600F Fiziksel Dedike Firewall;Adet;653.45
TL Fiyat Listesi;FortiGate 200F Fiziksel Dedike Firewall;Adet;2237.43
USD Fiyat Listesi;FortiGate 200F Fiziksel Dedike Firewall;Adet;50.0
Euro Fiyat Listesi;FortiGate 200F Fiziksel Dedike Firewall;Adet;42.43
USD Fiyat Listesi;CCSP-RH02825MO Red Hat Enterprise Linux Server, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly);Adet;7.28
Euro Fiyat Listesi;CCSP-RH02825MO Red Hat Enterprise Linux Server, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly);Adet;6.18
TL Fiyat Listesi;CCSP-RH02825MO Red Hat Enterprise Linux Server, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly);Adet;325.77
USD Fiyat Listesi;CCSP-RH02843MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly);Adet;6.07
Euro Fiyat Listesi;CCSP-RH02843MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly);Adet;5.15
TL Fiyat Listesi;CCSP-RH02843MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly);Adet;271.62
USD Fiyat Listesi;CCSP-RH02841MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly);Virtual Node;9.34
Euro Fiyat Listesi;CCSP-RH02841MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly);Virtual Node;7.93
TL Fiyat Listesi;CCSP-RH02841MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly);Virtual Node;417.95
USD Fiyat Listesi;CCSP-RH02842MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly);Virtual Node;7.0
Euro Fiyat Listesi;CCSP-RH02842MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly);Virtual Node;5.94
TL Fiyat Listesi;CCSP-RH02842MO Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly);Virtual Node;313.24
TL Fiyat Listesi;Premium Windows İşletim Sistemi Yönetim Hizmeti;per VM;734.77
USD Fiyat Listesi;Premium Windows İşletim Sistemi Yönetim Hizmeti;per VM;16.42
Euro Fiyat Listesi;Premium Windows İşletim Sistemi Yönetim Hizmeti;per VM;13.93
USD Fiyat Listesi;CCSP-RH00233 RedHatEnterpriseLinuxServerVirtualDatacentersforSP,FullSupport(P.NodeDedicatedYearly);Adet;3339.6
USD Fiyat Listesi;CCSP-MCT3024 Red Hat Satellite for Service Providers, Full Support (Socket-Pair, Yearly);Adet;199.87
USD Fiyat Listesi;CCSP-MCT3025 Red Hat Satellite for Service Providers, Full Support (Socket-Pair, Monthly);Adet;17.71
USD Fiyat Listesi;CCSP-RH00235 RedHatEnterpriseLinuxServerVirtualDatacentersforSP,FullSupport(P.NodeDedicatedMonthly);Adet;303.6
USD Fiyat Listesi;CCSP-RH00232 RedHat EnterpriseLinuxServerforSP,FullSupport(PhysicalorVirtualNodes,Dedicated,Yearly);Adet;1085.37
Euro Fiyat Listesi;CCSP-MCT3024 Red Hat Satellite for Service Providers, Full Support (Socket-Pair, Yearly);Adet;169.62
TL Fiyat Listesi;CCSP-MCT3024 Red Hat Satellite for Service Providers, Full Support (Socket-Pair, Yearly);Adet;8943.88
Euro Fiyat Listesi;CCSP-MCT3025 Red Hat Satellite for Service Providers, Full Support (Socket-Pair, Monthly);Adet;15.03
TL Fiyat Listesi;CCSP-MCT3025 Red Hat Satellite for Service Providers, Full Support (Socket-Pair, Monthly);Adet;792.5
Euro Fiyat Listesi;CCSP-MCT3027 Red Hat Satellite for Service Providers, Full Support (Managed Node, Monthly);Adet;5.37
TL Fiyat Listesi;CCSP-MCT3027 Red Hat Satellite for Service Providers, Full Support (Managed Node, Monthly);Adet;283.26
Euro Fiyat Listesi;CCSP-RH00232 RedHat EnterpriseLinuxServerforSP,FullSupport(PhysicalorVirtualNodes,Dedicated,Yearly);Adet;921.09
TL Fiyat Listesi;CCSP-RH00232 RedHat EnterpriseLinuxServerforSP,FullSupport(PhysicalorVirtualNodes,Dedicated,Yearly);Adet;48568.68
Euro Fiyat Listesi;CCSP-RH00233 RedHatEnterpriseLinuxServerVirtualDatacentersforSP,FullSupport(P.NodeDedicatedYearly);Adet;2834.11
TL Fiyat Listesi;CCSP-RH00233 RedHatEnterpriseLinuxServerVirtualDatacentersforSP,FullSupport(P.NodeDedicatedYearly);Adet;149442.09
Euro Fiyat Listesi;CCSP-RH00235 RedHatEnterpriseLinuxServerVirtualDatacentersforSP,FullSupport(P.NodeDedicatedMonthly);Adet;257.65
TL Fiyat Listesi;CCSP-RH00235 RedHatEnterpriseLinuxServerVirtualDatacentersforSP,FullSupport(P.NodeDedicatedMonthly);Adet;13585.64
TL Fiyat Listesi;CCSP-RH02823 Red Hat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly);Adet;5214.1
Euro Fiyat Listesi;CCSP-RH02823 Red Hat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly);Adet;98.88
Euro Fiyat Listesi;CCSP-RH02823MO RedHat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly);vCPU;9.5
TL Fiyat Listesi;CCSP-RH02823MO RedHat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly);vCPU;501.18
Euro Fiyat Listesi;CCSP-RH02824MO Red Hat Enterprise Linux Server, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly);vCPU;7.14
TL Fiyat Listesi;CCSP-RH02824MO Red Hat Enterprise Linux Server, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly);vCPU;376.33
Euro Fiyat Listesi;CCSP-RH02825MO RedHat Enterprise Linux Server,Full Support(128 to unlimited vCPUs,Multi-Tenant,Monthly);vCPU;6.18
TL Fiyat Listesi;CCSP-RH02825MO RedHat Enterprise Linux Server,Full Support(128 to unlimited vCPUs,Multi-Tenant,Monthly);vCPU;325.77
Euro Fiyat Listesi;FortiGate 100F Fiziksel Dedike Firewall;Adet;910.04
USD Fiyat Listesi;FortiGate 100F Fiziksel Dedike Firewall;Adet;1072.35
TL Fiyat Listesi;Yedekleme Hizmeti;GB;0.89
USD Fiyat Listesi;Yedekleme Hizmeti;GB;0.02
Euro Fiyat Listesi;Yedekleme Hizmeti;GB;0.02
TL Fiyat Listesi;Kullanıcı Lisansı;Adet;200.92
USD Fiyat Listesi;Kullanıcı Lisansı;Adet;4.49
Euro Fiyat Listesi;Kullanıcı Lisansı;Adet;3.81
TL Fiyat Listesi;Bulut Depolama Alanı;TB;2096.47
USD Fiyat Listesi;Bulut Depolama Alanı;TB;46.85
Euro Fiyat Listesi;Bulut Depolama Alanı;TB;39.76
TL Fiyat Listesi;Veri Merkezi Erişim ve L3 DDoS Hizmeti;Mbit;328.9
USD Fiyat Listesi;Veri Merkezi Erişim ve L3 DDoS Hizmeti;Mbit;7.35
Euro Fiyat Listesi;Veri Merkezi Erişim ve L3 DDoS Hizmeti;Mbit;6.24
USD Fiyat Listesi;Klasik Mimari Intel Disk - SSD Hybrid;GB;0.08
Euro Fiyat Listesi;Klasik Mimari Intel Disk - SSD Hybrid;GB;0.07
Euro Fiyat Listesi;Klasik Mimari Intel Disk - SSD Hybrid - DR;GB;0.07
USD Fiyat Listesi;Klasik Mimari Intel Disk - SSD Hybrid - DR;GB;0.08
USD Fiyat Listesi;Klasik Mimari Veeam Replication Disk - SSD;GB;0.08
Euro Fiyat Listesi;Klasik Mimari Veeam Replication Disk - SSD;GB;0.07
USD Fiyat Listesi;Klasik Mimari Zerto Replication Disk - SSD;GB;0.08
Euro Fiyat Listesi;Klasik Mimari Zerto Replication Disk - SSD;GB;0.07
TL Fiyat Listesi;Replikasyon Yönetim Hizmeti;per VM;410.79
USD Fiyat Listesi;Replikasyon Yönetim Hizmeti;per VM;9.18
Euro Fiyat Listesi;Replikasyon Yönetim Hizmeti;per VM;7.79
USD Fiyat Listesi;Replikasyon Lisansı;Adet;30.0
TL Fiyat Listesi;Replikasyon Lisansı;Adet;1342.46
Euro Fiyat Listesi;Replikasyon Lisansı;Adet;25.46
TL Fiyat Listesi;IBM ICOS S3 Hizmeti;Adet;1372.44
USD Fiyat Listesi;IBM ICOS S3 Hizmeti;Adet;30.67
Euro Fiyat Listesi;IBM ICOS S3 Hizmeti;Adet;26.03
TL Fiyat Listesi;FortiGate FG-VM04V UTP 12 Ay;Adet;34161.0
TL Fiyat Listesi;FortiGate FG-VM08V UTP 12 Ay;Adet;89289.81
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM01 - FortiCare Lisans - Yönetim Dahil;Adet;8356.78
TL Fiyat Listesi;Hyperconverged İmaj Yedekleme Hizmeti;GB;1.79
TL Fiyat Listesi;Hyperconverged Mimari Intel CPU;vCPU;220.61
TL Fiyat Listesi;Hyperconverged Mimari Intel CPU - DR;vCPU;73.39
TL Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD;GB;1.79
TL Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD - DR;GB;1.79
TL Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD Hybrid;GB;1.79
TL Fiyat Listesi;Hyperconverged Mimari Intel Disk - SSD Hybrid - DR;GB;1.79
TL Fiyat Listesi;Hyperconverged Mimari Intel RAM;GB;153.93
TL Fiyat Listesi;Hyperconverged Mimari Intel RAM - DR;GB;51.46
TL Fiyat Listesi;IBM ICOS S3 Ankara;TB;732.98
TL Fiyat Listesi;IBM ICOS S3 İstanbul;TB;732.98
TL Fiyat Listesi;Klasik Mimari Intel CPU;vCPU;289.52
TL Fiyat Listesi;Klasik Mimari Intel CPU - DR;vCPU;88.6
TL Fiyat Listesi;Klasik Mimari Intel Disk - NVMe;GB;7.16
TL Fiyat Listesi;Klasik Mimari Intel Disk - NVMe - DR;GB;7.16
TL Fiyat Listesi;Klasik Mimari Intel Disk - SSD Hybrid;GB;3.58
TL Fiyat Listesi;Klasik Mimari Intel Disk - SSD Hybrid - DR;GB;3.58
TL Fiyat Listesi;Klasik Mimari Intel RAM;GB;84.57
TL Fiyat Listesi;Klasik Mimari Intel RAM - DR;GB;25.95
TL Fiyat Listesi;Data Switch Port ve SFP Hizmeti;Adet;3817.94
TL Fiyat Listesi;Management Switch Port Hizmeti;Adet;757.14
TL Fiyat Listesi;Palo Alto Dedike Firewall Yönetim Hizmeti;Adet;8745.68
TL Fiyat Listesi;Plesk Web Admin Edition VPS (10 Domains);Adet;874.39
TL Fiyat Listesi;Plesk Web Host Edition VPS (Unlimited Domains);Adet;3241.58
TL Fiyat Listesi;Plesk Web Pro Edition VPS (30 Domains);Adet;1543.38
TL Fiyat Listesi;Premium Monitoring Hizmeti;per VM;914.21
TL Fiyat Listesi;Public IPv4 Blok /24 - 256 Adet IP;Adet;54510.83
TL Fiyat Listesi;Public IPv4 Blok /25 - 128 Adet IP;Adet;27255.42
TL Fiyat Listesi;Public IPv4 Blok /26 - 64 Adet IP;Adet;13627.71
TL Fiyat Listesi;Public IPv4 Blok /27 - 32 Adet IP;Adet;6813.85
TL Fiyat Listesi;Public IPv4 Blok /28 - 16 Adet IP;Adet;3407.15
TL Fiyat Listesi;Public IPv4 Blok /29 - 8 Adet IP;Adet;1703.58
TL Fiyat Listesi;Public IPv4 Blok /30 - 4 Adet IP;Adet;851.56
TL Fiyat Listesi;Public IPv4 Blok /31 - 2 Adet IP;Adet;426.01
TL Fiyat Listesi;Public IPv4 Blok /32 - 1 Adet IP;Adet;213.0
TL Fiyat Listesi;Public IPv6 Blok  /48;Adet;851.56
TL Fiyat Listesi;Public IPv6 Blok /56;Adet;426.01
TL Fiyat Listesi;Public IPv6 Blok /64;Adet;213.0
TL Fiyat Listesi;Public IPv6 Blok /120;Adet;106.5
TL Fiyat Listesi;Public IPv6 Yönlendirme Hizmeti (Only /48 Blok);Adet;1997.57
TL Fiyat Listesi;SAP Intel HANA CPU;vCPU;289.52
TL Fiyat Listesi;SAP Intel HANA RAM;GB;84.57
TL Fiyat Listesi;SAP Intel HANA Storage - Nvme;GB;8.5
TL Fiyat Listesi;SAP Intel HANA Storage - SSD;GB;4.47
TL Fiyat Listesi;SAP Intel HANA Storage - SSD Hybrid;GB;4.47
TL Fiyat Listesi;SAP Power HANA CPU;Core;6444.23
TL Fiyat Listesi;SAP Power HANA RAM;GB;161.09
TL Fiyat Listesi;SAP Power HANA Storage - NVMe;GB;2.24
TL Fiyat Listesi;SAP Power HANA Storage - SSD;GB;4.47
TL Fiyat Listesi;SAP Power HANA Storage - SSD Hybrid;GB;4.47
TL Fiyat Listesi;Sophos Load Balancer - HTTP/S;Adet;433.17
TL Fiyat Listesi;Sophos Load Balancer;Adet;385.73
TL Fiyat Listesi;Sophos SSL VPN;per User;1.34
TL Fiyat Listesi;Sophos UTM Firewall ve Yönetim Hizmeti;Adet;524.9
TL Fiyat Listesi;Sophos UTM Sanal Dedike Firewall ve Yönetim Hizmeti;Adet;524.9
TL Fiyat Listesi;Sophos UTM Sanal Dedike Firewall ve Yönetim Hizmeti - Per VM;Adet;524.9
TL Fiyat Listesi;Sophos WAF;Adet;236.27
TL Fiyat Listesi;Standart DDoS Hizmeti (L3);Mbit;112.77
TL Fiyat Listesi;Standart Intel Linux İşletim Sistemi Yönetim Hizmeti;per VM;1078.44
TL Fiyat Listesi;Standart Monitoring Hizmeti;per VM;520.87
TL Fiyat Listesi;Standart Windows İşletim Sistemi Yönetim Hizmeti;per VM;1078.44
TL Fiyat Listesi;SUSE for SAP HANA on Intel Yönetim Hizmeti;per VM;2464.75
TL Fiyat Listesi;SUSE for SAP HANA on Power Yönetim Hizmeti;per VM;2464.75
TL Fiyat Listesi;Uygulama Yedekleme Hizmeti (Veritas NetBackup);GB;1.79
TL Fiyat Listesi;Veeam Cloud Connect Backup Lisansı (Customer Does Not Have Veeam);per VM;407.66
TL Fiyat Listesi;Veeam Cloud Connect Backup Lisansı (Customer Has Veeam);per VM;226.43
TL Fiyat Listesi;Klasik Mimari Veeam Replication Disk - NVMe;GB;7.16
TL Fiyat Listesi;Veeam Cloud Connect Replication Lisansı (Customer does not have Veeam);per VM;860.96
TL Fiyat Listesi;Veeam Cloud Connect Replication Lisansı (Customer Has Veeam);per VM;453.3
TL Fiyat Listesi;Klasik Mimari Veeam Replication RAM;GB;25.95
TL Fiyat Listesi;Klasik Mimari Veeam Replication vCpu;vCPU;88.6
TL Fiyat Listesi;Veeam Replikasyon Yönetim Hizmeti;Adet;924.5
TL Fiyat Listesi;Veri Merkezi Erişim Hizmeti;Mbit;225.98
TL Fiyat Listesi;Hyperconverged Mimari Veeam Replication Disk - SSD;GB;1.79
TL Fiyat Listesi;Hyperconverged Mimari Veeam Replication Disk - SSD Hybrid;GB;1.79
TL Fiyat Listesi;Hyperconverged Mimari Veeam Replication RAM;GB;51.46
